feature,correlation,mi_score,f_score,p_value,abs_coefficient,importance,corr_norm,mi_norm,f_norm,lr_norm,rf_norm,composite_score
PageValues,0.4826902382441162,0.16341408565201077,2995.717993640702,0.0,0.8100652579129503,0.1777223158434971,0.9999999997896023,0.9743039631903825,0.9999999999999666,0.4813443711584542,0.808080682379689,0.8527458033036188
value_per_page,0.339365140315672,0.1665649026116356,1283.6274013500854,2.202709881301795e-264,1.6827020131586694,0.19186898825705756,0.6984473164098212,0.9932899074544129,0.42838434866983716,0.9999999999405645,0.8732659079552961,0.7986774960859864
value_per_second,0.2673188699985687,0.16767847753846965,758.9677520526383,5.053868823548082e-161,0.38690240071597526,0.21937316058194134,0.5468636338891627,0.9999999993974278,0.25321624219799765,0.22983560023242222,0.9999999995392186,0.6059830950512458
ExitRates,0.20749000910753623,0.04443058480691664,443.6812601609079,2.224046392125533e-96,0.937644235096484,0.047681695442858316,0.42098509756851205,0.2573425705320273,0.1479515475435156,0.5571715171418617,0.20887777960503537,0.3184657024781904
total_pages,0.17315161554770644,0.02543519091520996,304.8162170717146,3.002003948568068e-67,0.13419540941353178,0.028625079286553945,0.34873791357504724,0.142881624586062,0.10158867842324541,0.07963804932282559,0.12106844985299235,0.1587829431520345
total_duration,0.16041447446303947,0.034951294933022625,260.479784411886,7.407380194747088e-58,0.04261893383969506,0.03321066626308237,0.32193926401413236,0.2002230134411038,0.0867860745501669,0.025209154098232812,0.14219797860174924,0.15527109694107702
ProductRelated_Duration,0.15685808463332035,0.035012251833539176,248.7700236213735,2.2807026503714012e-55,0.048439262792410474,0.03141052157822686,0.314456702259095,0.20059032272328217,0.08287653695249017,0.028668493112481996,0.13390324794561584,0.15209906059859304
ProductRelated,0.16719476746030573,0.020992430957757602,283.6113350652421,9.198229179611956e-63,0.13802261959163212,0.023139450959297574,0.33620484329493333,0.11611079212846959,0.09450900489773909,0.08191276911828616,0.09579169858013593,0.1449058216039128
BounceRates,0.15097959902682004,0.025603147790779657,230.0465802295037,2.2075127636265737e-51,0.0029346781930435504,0.023032273517979946,0.3020885048221422,0.1438936858765746,0.0766253412869224,0.0016226360637404476,0.095297844938469,0.12390560259756975
bounce_exit_product,0.129660900660669,0.024338409255362237,168.63451755300215,3.0243603441493903e-38,0.09972964221589932,0.025789019479184234,0.2572344576845881,0.13627272418641478,0.05612169716643858,0.05915316365890192,0.10800041569733472,0.12335649167873561
